beam_id,origin_geometry,origin_1,origin_2,origin_3,target_geometry,target_1,target_2,target_3,width_x_m,width_y_m,rotation_pi,supergaussian_index,omega_rad_s,peak_intensity_w_m2
17,spherical,3.3,-0.1,0.119,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
22,spherical,3.3,0.3,0.119,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
46,spherical,3.3,-0.5,0.119,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
56,spherical,3.3,0.7,0.119,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
61,spherical,3.3,-0.9,0.119,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
11,spherical,3.3,0.3,0.2334444445,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
26,spherical,3.3,-0.5,0.2334444445,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
31,spherical,3.3,-0.1,0.2334444445,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
55,spherical,3.3,-0.9,0.2334444445,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
68,spherical,3.3,0.7,0.2334444445,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
10,spherical,3.3,0.033,0.3269444445,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
13,spherical,3.3,0.433,0.3269444445,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
20,spherical,3.3,0.167,0.3269444445,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
28,spherical,3.3,-0.233,0.3269444445,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
33,spherical,3.3,-0.367,0.3269444445,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
48,spherical,3.3,-0.633,0.3269444445,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
52,spherical,3.3,-0.767,0.3269444445,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
58,spherical,3.3,0.833,0.3269444445,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
65,spherical,3.3,0.967,0.3269444445,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
66,spherical,3.3,0.567,0.3269444445,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
15,spherical,3.3,-0.1696666665,0.4513888888,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
24,spherical,3.3,0.3696666666,0.4513888888,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
32,spherical,3.3,0.2303333334,0.4513888888,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
36,spherical,3.3,-0.4303333332,0.4513888888,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
37,spherical,3.3,-0.0303333333,0.4513888888,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
40,spherical,3.3,-0.9696666666,0.4513888888,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
41,spherical,3.3,-0.5696666667,0.4513888888,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
47,spherical,3.3,0.7696666668,0.4513888888,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
59,spherical,3.3,0.6303333332,0.4513888888,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
60,spherical,3.3,-0.8303333334,0.4513888888,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
16,spherical,3.3,-0.2303333334,0.5486111110,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
18,spherical,3.3,0.4303333335,0.5486111110,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
27,spherical,3.3,0.1696666668,0.5486111110,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
34,spherical,3.3,-0.3696666666,0.5486111110,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
35,spherical,3.3,0.0303333333,0.5486111110,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
42,spherical,3.3,0.9696666665,0.5486111110,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
49,spherical,3.3,-0.6303333333,0.5486111110,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
53,spherical,3.3,0.8303333333,0.5486111110,cartesian,0,0,0,3.58e-4,3.58e-4,0,5.2,5.36e15,1.7e18
